Governor/Lieutenant Governor (Vote For 1),,,,,,,,,,
,,Jared Polis / Dianne Primavera,,Walker Stapleton / Lang Sias,,Bill Hammons / Eric Bodenstab,,Scott Helker / Michele Poague,,
County,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total
Adams,280083,92324,92324,68968,68968,2451,2451,5765,5765,169508
Alamosa,10393,3010,3010,2679,2679,120,120,181,181,5990
Arapahoe,423146,153743,153743,106384,106384,2672,2672,6521,6521,269320
Archuleta,11097,2781,2781,3710,3710,77,77,161,161,6729
Baca,2691,330,330,1440,1440,32,32,56,56,1858
Bent,2534,629,629,1086,1086,66,66,72,72,1853
Boulder,248492,128040,128040,37073,37073,1053,1053,3435,3435,169601
Broomfield,51958,21270,21270,13521,13521,290,290,860,860,35941
Chaffee,15165,5437,5437,4994,4994,162,162,289,289,10882
Cheyenne,1401,133,133,789,789,12,12,20,20,954
Clear Creek,8244,2916,2916,2209,2209,58,58,171,171,5354
Conejos,5405,1641,1641,1747,1747,46,46,86,86,3520
Costilla,2842,1010,1010,506,506,29,29,58,58,1603
Crowley,2234,392,392,861,861,41,41,56,56,1350
Custer,0,851,851,1759,1759,27,27,64,64,2701
Delta,0,4787,4787,9669,9669,164,164,442,442,15062
Denver,484843,227763,227763,57800,57800,2622,2622,6417,6417,294602
Dolores,1742,267,267,842,842,17,17,28,28,1154
Douglas,252464,69756,69756,97028,97028,1258,1258,4493,4493,172535
Eagle,36151,13649,13649,7693,7693,176,176,536,536,22054
El Paso,464967,105538,105538,151475,151475,3093,3093,8544,8544,268650
Elbert,20651,3111,3111,10516,10516,110,110,376,376,14113
Fremont,31091,6001,6001,12538,12538,309,309,672,672,19520
Garfield,0,11675,11675,11361,11361,227,227,596,596,23859
Gilpin,0,1800,1800,1400,1400,39,39,112,112,3351
Grand,12013,3553,3553,3819,3819,71,71,237,237,7680
Gunnison,0,5502,5502,2912,2912,70,70,259,259,8743
Hinsdale,674,218,218,318,318,1,1,19,19,556
Huerfano,5299,1792,1792,1647,1647,58,58,107,107,3604
Jackson,0,176,176,564,564,5,5,33,33,778
Jefferson,433979,165531,165531,126626,126626,3047,3047,9373,9373,304577
Kiowa,1035,93,93,637,637,13,13,22,22,765
Kit Carson,5045,535,535,2383,2383,49,49,74,74,3041
La Plata,45647,15773,15773,11656,11656,176,176,616,616,28221
Lake,5181,1663,1663,988,988,58,58,135,135,2844
Larimer,258441,98146,98146,74915,74915,1536,1536,4730,4730,179327
Las Animas,11010,2914,2914,2974,2974,122,122,158,158,6168
Lincoln,3217,352,352,1611,1611,37,37,60,60,2060
Logan,12927,1860,1860,6329,6329,119,119,250,250,8558
Mesa,118265,23067,23067,40035,40035,631,631,1742,1742,65475
Mineral,0,259,259,319,319,8,8,16,16,602
Moffat,0,944,944,4219,4219,64,64,137,137,5364
Montezuma,19861,4369,4369,6913,6913,88,88,290,290,11660
Montrose,28551,5792,5792,12390,12390,170,170,439,439,18791
Morgan,16868,2761,2761,7144,7144,158,158,285,285,10348
Otero,0,2870,2870,4006,4006,181,181,261,261,7318
Ouray,0,1827,1827,1211,1211,16,16,67,67,3121
Park,14789,3586,3586,5381,5381,97,97,309,309,9373
Phillips,0,397,397,1580,1580,31,31,45,45,2053
Pitkin,15349,6760,6760,2238,2238,40,40,167,167,9205
Prowers,7401,1075,1075,2854,2854,55,55,106,106,4090
Pueblo,113893,33555,33555,29483,29483,1054,1054,2172,2172,66264
Rio Blanco,4512,486,486,2461,2461,18,18,73,73,3038
Rio Grande,8049,1902,1902,2789,2789,59,59,164,164,4914
Routt,0,8114,8114,4766,4766,100,100,304,304,13284
Saguache,0,1523,1523,1010,1010,34,34,93,93,2660
San Juan,0,271,271,167,167,4,4,8,8,450
San Miguel,0,2952,2952,873,873,21,21,89,89,3935
Sedgwick,1840,290,290,856,856,26,26,33,33,1205
Summit,0,9429,9429,4207,4207,106,106,375,375,14117
Teller,20256,3952,3952,8354,8354,126,126,350,350,12782
Washington,3406,290,290,1968,1968,32,32,57,57,2347
Weld,0,45972,45972,72060,72060,1566,1566,4169,4169,123767
Yuma,6026,689,689,3226,3226,50,50,89,89,4054
Total:,3531128,1320094,1320094,1065937,1065937,25248,25248,67924,67924,2479203
